OBJECTID,CT20,LABEL,ShapeSTArea,ShapeSTLength
1,101110,1011.10,12295621.3515625,15083.8542873721
2,101122,1011.22,28457743.5732422,31671.4558435368
3,101220,1012.20,7522092.63378906,12698.7838102185
4,101221,1012.21,3811999.66992188,9161.71054325658
5,101222,1012.22,3191370.85742188,9980.60046109369
6,101300,1013.00,27773766.0791016,29384.8606015731
7,101400,1014.00,67915323.0517578,42668.9289857626
8,102103,1021.03,12770232.6572266,16349.9350019716
9,102104,1021.04,17851202.5263672,27555.4663595119
10,102105,1021.05,5303654.19628906,9962.25112647049
11,102107,1021.07,139083341.111328,63679.4342694718
12,103101,1031.01,21846686.8544922,25422.1276369579
13,103102,1031.02,13357089.84375,16530.3942608672
14,103201,1032.01,21039344.7832031,18231.1693756085
15,103202,1032.02,50999127.7236328,45719.3685524455
16,103300,1033.00,66105765.8164062,37338.6863165564
17,103401,1034.01,15085817.3144531,20468.5995148525
18,103402,1034.02,11829767.9794922,14650.1976286894
19,104103,1041.03,10215165.9941406,13241.1920640884
20,104105,1041.05,6292902.12695312,11640.190230956
21,104108,1041.08,11803024.8876953,18965.7732703987
22,104124,1041.24,48221678.2041016,39589.7121911513
23,104201,1042.01,11732587.4433594,14811.3536161349
24,104203,1042.03,7620036.26855469,11052.5284982817
25,104204,1042.04,28675847.3105469,30208.0051784021
26,104310,1043.10,16237239.8916016,19099.5181658095
27,104321,1043.21,5595200.69238281,10641.6984469645
28,104322,1043.22,7451302.53808594,14607.5628461042
29,104401,1044.01,7330831.84960938,12432.0534515166
30,104403,1044.03,7459610.76269531,16071.53340497
31,104404,1044.04,5807918.47363281,10935.7094647293
32,104500,1045.00,5715190.49121094,11300.6651931215
33,104610,1046.10,6373155.81347656,11599.538067918
34,104620,1046.20,5716992.3046875,11300.4366127562
35,104701,1047.01,5925044.87109375,11097.8773439929
36,104703,1047.03,12573746.2216797,15301.0496640361
37,104704,1047.04,17900181.9082031,16925.9887228193
38,104821,1048.21,5723796.18261719,11302.2410366629
39,104822,1048.22,6504668.796875,13769.4332839139
40,104823,1048.23,5718767.1484375,11300.8036397247
41,104824,1048.24,6371995.35449219,11599.9838382513
42,106010,1060.10,27098616.7695312,23979.4937388063
43,106020,1060.20,21718323.7714844,23226.0291990226
44,106111,1061.11,29992030.2294922,28008.8000157713
45,106112,1061.12,34747532.1855469,49778.5089868247
46,106113,1061.13,15535764.4160156,19829.4070253054
47,106114,1061.14,10918013.3037109,17233.4551913552
48,106403,1064.03,11899848.7216797,14300.5664002265
49,106405,1064.05,12611159.796875,14491.7519698648
50,106406,1064.06,21673389.5224609,21131.5079995125
51,106407,1064.07,2498435.38378906,6355.67193349336
52,106408,1064.08,2465456.70605469,6295.67878405799
53,106510,1065.10,62320912.9794922,37019.9177637605
54,106520,1065.20,23741526.4511719,19779.3007119819
55,106603,1066.03,111084787.810547,48440.4636627044
56,106604,1066.04,28203053.5917969,26326.1705501162
57,106641,1066.41,12221119.8564453,19091.7847071132
58,106642,1066.42,16979505.9570312,20368.8791516344
59,106643,1066.43,46699507.1308594,32813.7806306536
60,106645,1066.45,27207863.296875,30208.2929391285
61,106646,1066.46,15888375.2744141,23434.5871433029
62,106648,1066.48,8534183.94824219,13655.9663913467
63,106649,1066.49,11975572.9433594,20764.1805146029
64,107010,1070.10,7369001.02441406,12974.1186458623
65,107020,1070.20,10697864.2060547,14666.2688067622
66,108101,1081.01,12147387.6474609,14665.5844305924
67,108102,1081.02,23504175.0498047,18955.3382260785
68,108103,1081.03,27606102.2900391,36634.5332898117
69,108104,1081.04,8890331.62207031,14765.7392079181
70,108202,1082.02,64352782.1357422,35898.2314152702
71,108203,1082.03,14770769.8925781,16693.5650757153
72,108204,1082.04,15420095.8818359,22338.8768598772
73,109100,1091.00,29123462.7080078,26332.2283779904
74,109200,1092.00,10945273.3681641,16021.0511675797
75,109300,1093.00,13271683.3457031,17491.5495366044
76,109400,1094.00,13893160.9023438,17559.4018253716
77,109500,1095.00,12856453.7617188,20586.1265910484
78,109601,1096.01,24194049.1074219,20083.1761257531
79,109603,1096.03,10751114.5585938,13424.2843403615
80,109604,1096.04,12645174.2480469,14357.4695878526
81,109700,1097.00,17079329.3535156,17939.9053525616
82,109800,1098.00,15061830.2587891,16580.2293758133
83,111100,1111.00,11400603.0742188,13561.9651441316
84,111201,1112.01,20587432.4355469,25205.245882686
85,111202,1112.02,20091109.9980469,20759.9587898624
86,111204,1112.04,35639243.4882812,25934.6482658324
87,111205,1112.05,12474960.6601562,14717.2703286422
88,111206,1112.06,28228463.0771484,24118.1239720915
89,111302,1113.02,16712782.2734375,17844.482438088
90,111303,1113.03,16832231.5898438,18129.8700640966
91,111304,1113.04,4708175.12207031,8773.5163057848
92,111401,1114.01,9049528.94433594,12356.9405793198
93,111402,1114.02,10453334.4501953,13233.102888349
94,113101,1131.01,24410142.1201172,21415.0656618697
95,113102,1131.02,39509556.7783203,24896.242981349
96,113211,1132.11,78395455.0996094,37917.3610190754
97,113212,1132.12,10747373.6435547,14207.1399019637
98,113213,1132.13,14001134.3876953,16855.5137288374
99,113231,1132.31,44571715.7441406,42865.9366866667
100,113232,1132.32,22234493.9189453,23602.8906028188
101,113234,1132.34,11009759.1083984,16791.6077313267
102,113235,1132.35,15356123.0576172,28934.9317607822
103,113237,1132.37,51094986.5869141,36475.0013678298
104,113238,1132.38,7638426.46289062,10875.5283491484
105,113239,1132.39,4673877.33984375,9752.947394083
106,113301,1133.01,24263386.4384766,22624.9623748123
107,113303,1133.03,44083459.1650391,31068.5549459623
108,113322,1133.22,19231486.84375,20151.4538286716
109,113323,1133.23,7791572.47265625,11024.008775349
110,113324,1133.24,3492170.48925781,7928.50992994499
111,113423,1134.23,7649036.11621094,11075.1139640558
112,113424,1134.24,18739915.4550781,20657.8941264059
113,113425,1134.25,3651865.33496094,7977.65394428672
114,113426,1134.26,20084002.2617188,21380.9111741258
115,113427,1134.27,2790247.36816406,9033.41081887984
116,113428,1134.28,13674399.8486328,15162.191322909
117,115101,1151.01,41786208.7509766,26402.1772292515
118,115103,1151.03,16345329.9091797,22256.5317322198
119,115104,1151.04,10980251.0683594,20303.802988532
120,115202,1152.02,18742318.7949219,18760.6301553651
121,115203,1152.03,6509085.22460938,13182.1395253106
122,115204,1152.04,8295903.28125,12905.2672224436
123,115301,1153.01,17664625.8554688,21878.4707218553
124,115302,1153.02,9017482.49414062,12561.9484744478
